time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	0.344954	340.431853	0.210797	0.286189	340.431853	0.210797
0.010000	0.238615	340.872553	0.210625	0.277001	340.872553	0.210625
0.020000	0.123390	341.306811	0.210429	0.285285	341.306811	0.210429
0.030000	-0.006034	341.713353	0.210195	0.322373	341.713353	0.210195
0.040000	-0.146868	342.049261	0.209926	0.389360	342.049261	0.209926
0.050000	-0.287017	342.256624	0.209641	0.476923	342.256624	0.209641
0.060000	-0.406796	342.281153	0.209365	0.569032	342.281153	0.209365
0.070000	-0.483799	342.095674	0.209122	0.648927	342.095674	0.209122
0.080000	-0.500417	341.718357	0.208925	0.704786	341.718357	0.208925
0.090000	-0.452138	341.216306	0.208773	0.732935	341.216306	0.208773
0.100000	-0.353480	340.690170	0.208651	0.737845	340.690170	0.208651
0.110000	-0.238315	340.243363	0.208528	0.729545	340.243363	0.208528
0.120000	-0.152896	339.947155	0.208367	0.719700	339.947155	0.208367
0.130000	-0.142854	339.816139	0.208132	0.717699	339.816139	0.208132
0.140000	-0.238332	339.804683	0.207794	0.727911	339.804683	0.207794
0.150000	-0.442779	339.825516	0.207349	0.748883	339.825516	0.207349
0.160000	-0.729843	339.781600	0.206818	0.774530	339.781600	0.206818
0.170000	-1.049874	339.597510	0.206248	0.796571	339.597510	0.206248
0.180000	-1.344023	339.238988	0.205700	0.807182	339.238988	0.205700
0.190000	-1.561416	338.716725	0.205228	0.801192	338.716725	0.205228
0.200000	-1.673909	338.077791	0.204862	0.777666	338.077791	0.204862
0.210000	-1.683635	337.391355	0.204599	0.740787	337.391355	0.204599
0.220000	-1.620763	336.733808	0.204405	0.699659	336.733808	0.204405
0.230000	-1.532155	336.174784	0.204233	0.666558	336.174784	0.204233
0.240000	-1.465145	335.763575	0.204039	0.653829	335.763575	0.204039
0.250000	-1.452705	335.516670	0.203801	0.670344	335.516670	0.203801
0.260000	-1.505641	335.410460	0.203524	0.718661	335.410460	0.203524
0.270000	-1.613939	335.384985	0.203233	0.793620	335.384985	0.203233
0.280000	-1.754877	335.361930	0.202965	0.882733	335.361930	0.202965
0.290000	-1.902696	335.273017	0.202751	0.968674	335.273017	0.202751
0.300000	-2.035223	335.087660	0.202608	1.033826	335.087660	0.202608
0.310000	-2.136017	334.827083	0.202536	1.065815	334.827083	0.202536
0.320000	-2.193813	334.558005	0.202518	1.061864	334.558005	0.202518
0.330000	-2.202161	334.368859	0.202532	1.029729	334.368859	0.202532
0.340000	-2.160699	334.338559	0.202554	0.984466	334.338559	0.202554
0.350000	-2.077228	334.508882	0.202568	0.942496	334.508882	0.202568
0.360000	-1.968412	334.868327	0.202569	0.915893	334.868327	0.202569
0.370000	-1.857370	335.351700	0.202558	0.909669	335.351700	0.202558
0.380000	-1.767948	335.856551	0.202543	0.923117	335.856551	0.202543
0.390000	-1.717159	336.273443	0.202528	0.953969	336.273443	0.202528
0.400000	-1.708455	336.521339	0.202520	1.002430	336.521339	0.202520
0.410000	-1.728892	336.575268	0.202519	1.072021	336.575268	0.202519
0.420000	-1.752520	336.474933	0.202526	1.165963	336.474933	0.202526
0.430000	-1.750091	336.310528	0.202541	1.280853	336.310528	0.202541
0.440000	-1.701934	336.191786	0.202561	1.401865	336.191786	0.202561
0.450000	-1.608446	336.212487	0.202576	1.503773	336.212487	0.202576
0.460000	-1.492804	336.422785	0.202576	1.559240	336.422785	0.202576
0.470000	-1.393657	336.817160	0.202550	1.551241	336.817160	0.202550
0.480000	-1.350250	337.339880	0.202494	1.483165	337.339880	0.202494
0.490000	-1.386202	337.904754	0.202412	1.380370	337.904754	0.202412
0.500000	-1.499032	338.422492	0.202319	1.281205	338.422492	0.202319
0.510000	-1.660030	338.826983	0.202236	1.221075	338.826983	0.202236
0.520000	-1.824425	339.092018	0.202185	1.217002	339.092018	0.202185
0.530000	-1.947327	339.233099	0.202180	1.259958	339.233099	0.202180
0.540000	-1.998793	339.294907	0.202220	1.318466	339.294907	0.202220
0.550000	-1.972434	339.331528	0.202287	1.351754	339.331528	0.202287
0.560000	-1.885297	339.389643	0.202352	1.326728	339.389643	0.202352
0.570000	-1.770446	339.501480	0.202385	1.231748	339.501480	0.202385
0.580000	-1.665792	339.686175	0.202368	1.081886	339.686175	0.202368
0.590000	-1.602997	339.951591	0.202308	0.913803	339.951591	0.202308
0.600000	-1.599227	340.289988	0.202229	0.772308	340.289988	0.202229
0.610000	-1.653419	340.669636	0.202165	0.693727	340.669636	0.202165
0.620000	-1.747730	341.032596	0.202146	0.692551	341.032596	0.202146
0.630000	-1.853749	341.308148	0.202184	0.756666	341.308148	0.202184
0.640000	-1.941497	341.440863	0.202275	0.853121	341.440863	0.202275
0.650000	-1.988134	341.420194	0.202402	0.941911	341.420194	0.202402
0.660000	-1.983297	341.294549	0.202543	0.991776	341.294549	0.202543
0.670000	-1.929629	341.160354	0.202680	0.991292	341.160354	0.202680
0.680000	-1.839279	341.129949	0.202806	0.950987	341.129949	0.202806
0.690000	-1.728836	341.291788	0.202924	0.896513	341.291788	0.202924
0.700000	-1.615280	341.677440	0.203040	0.856778	341.677440	0.203040
0.710000	-1.514106	342.244780	0.203160	0.852504	342.244780	0.203160
0.720000	-1.438808	342.881046	0.203280	0.889578	342.881046	0.203280
0.730000	-1.399746	343.426194	0.203391	0.958846	343.426194	0.203391
0.740000	-1.401145	343.714100	0.203476	1.041324	343.714100	0.203476
0.750000	-1.437144	343.623850	0.203529	1.116086	343.623850	0.203529
0.760000	-1.489850	343.126230	0.203549	1.167558	343.126230	0.203549
0.770000	-1.532368	342.306571	0.203554	1.189399	342.306571	0.203554
0.780000	-1.537316	341.349864	0.203566	1.183764	341.349864	0.203566
0.790000	-1.487851	340.488339	0.203604	1.157063	340.488339	0.203604
0.800000	-1.386052	339.929176	0.203674	1.115275	339.929176	0.203674
0.810000	-1.254364	339.790381	0.203764	1.061860	339.790381	0.203764
0.820000	-1.129054	340.069390	0.203853	0.999123	340.069390	0.203853
0.830000	-1.048310	340.653476	0.203919	0.931192	340.653476	0.203919
0.840000	-1.039508	341.363135	0.203946	0.865665	341.363135	0.203946
0.850000	-1.109882	342.008936	0.203938	0.812314	342.008936	0.203938
0.860000	-1.243121	342.442567	0.203907	0.779681	342.442567	0.203907
0.870000	-1.402723	342.590307	0.203874	0.771862	342.590307	0.203874
0.880000	-1.541597	342.465193	0.203858	0.787353	342.465193	0.203858
0.890000	-1.615890	342.158618	0.203869	0.820234	342.158618	0.203869
0.900000	-1.599274	341.813791	0.203909	0.862656	341.813791	0.203909
0.910000	-1.492734	341.585695	0.203973	0.907351	341.585695	0.203973
0.920000	-1.325634	341.596591	0.204048	0.949278	341.596591	0.204048
0.930000	-1.146887	341.900178	0.204117	0.986004	341.900178	0.204117
0.940000	-1.009164	342.467142	0.204166	1.016852	342.467142	0.204166
0.950000	-0.952038	343.197749	0.204182	1.041384	343.197749	0.204182
0.960000	-0.990189	343.956297	0.204162	1.058150	343.956297	0.204162
0.970000	-1.110336	344.613515	0.204114	1.064398	344.613515	0.204114
0.980000	-1.276888	345.081399	0.204058	1.056781	345.081399	0.204058
0.990000	-1.443285	345.330623	0.204021	1.032553	345.330623	0.204021
1.000000	-1.564745	345.389198	0.204031	0.990843	345.389198	0.204031
1.010000	-1.608751	345.327628	0.204105	0.933839	345.327628	0.204105
1.020000	-1.561286	345.237873	0.204248	0.867663	345.237873	0.204248
1.030000	-1.428668	345.211918	0.204442	0.802249	345.211918	0.204442
1.040000	-1.235861	345.322840	0.204658	0.749601	345.322840	0.204658
1.050000	-1.021961	345.609691	0.204859	0.720649	345.609691	0.204859
1.060000	-0.832859	346.068079	0.205014	0.722111	346.068079	0.205014
1.070000	-0.711023	346.649651	0.205111	0.754937	346.649651	0.205111
1.080000	-0.683828	347.272854	0.205161	0.814866	347.272854	0.205161
1.090000	-0.753947	347.843465	0.205191	0.894339	347.843465	0.205191
1.100000	-0.896158	348.278859	0.205238	0.984413	348.278859	0.205238
1.110000	-1.063274	348.528633	0.205329	1.075818	348.528633	0.205329
1.120000	-1.200168	348.586563	0.205472	1.159189	348.586563	0.205472
1.130000	-1.261147	348.492129	0.205660	1.225336	348.492129	0.205660
1.140000	-1.224216	348.321379	0.205868	1.266552	348.321379	0.205868
1.150000	-1.097012	348.167542	0.206070	1.279177	348.167542	0.206070
1.160000	-0.912647	348.114357	0.206244	1.266414	348.114357	0.206244
1.170000	-0.717632	348.209469	0.206377	1.239419	348.209469	0.206377
1.180000	-0.556763	348.448104	0.206468	1.215132	348.448104	0.206468
1.190000	-0.460319	348.774667	0.206523	1.210913	348.774667	0.206523
1.200000	-0.437215	349.102391	0.206556	1.238039	349.102391	0.206556
1.210000	-0.475065	349.343098	0.206586	1.296942	349.343098	0.206586
1.220000	-0.545760	349.435322	0.206631	1.376331	349.435322	0.206631
1.230000	-0.614128	349.361207	0.206705	1.456486	349.361207	0.206705
1.240000	-0.647407	349.148432	0.206811	1.515526	349.148432	0.206811
1.250000	-0.623868	348.859314	0.206942	1.536622	348.859314	0.206942
1.260000	-0.539113	348.572384	0.207077	1.513887	348.572384	0.207077
1.270000	-0.408421	348.362072	0.207191	1.454834	348.362072	0.207191
1.280000	-0.263668	348.280953	0.207266	1.378247	348.280953	0.207266
1.290000	-0.144627	348.347692	0.207291	1.308200	348.347692	0.207291
1.300000	-0.086692	348.542773	0.207272	1.266738	348.542773	0.207272
1.310000	-0.109112	348.812869	0.207229	1.267974	348.812869	0.207229
1.320000	-0.208228	349.083256	0.207182	1.314991	349.083256	0.207182
1.330000	-0.358366	349.276217	0.207153	1.399353	349.276217	0.207153
1.340000	-0.519843	349.332140	0.207150	1.502630	349.332140	0.207150
1.350000	-0.650723	349.228723	0.207173	1.599897	349.228723	0.207173
1.360000	-0.718105	348.992605	0.207214	1.665338	348.992605	0.207214
1.370000	-0.705861	348.697606	0.207262	1.679125	348.697606	0.207262
1.380000	-0.617734	348.446354	0.207308	1.633490	348.446354	0.207308
1.390000	-0.476050	348.337777	0.207342	1.535718	348.337777	0.207342
1.400000	-0.316691	348.430392	0.207353	1.406942	348.430392	0.207353
1.410000	-0.181033	348.716165	0.207330	1.277077	348.716165	0.207330
1.420000	-0.106008	349.117944	0.207262	1.176917	349.117944	0.207262
1.430000	-0.114436	349.514482	0.207144	1.128903	349.514482	0.207144
1.440000	-0.208277	349.784723	0.206985	1.139009	349.784723	0.206985
1.450000	-0.367084	349.853897	0.206804	1.193376	349.853897	0.206804
1.460000	-0.552512	349.722474	0.206628	1.262738	349.722474	0.206628
1.470000	-0.718076	349.465968	0.206488	1.314288	349.465968	0.206488
1.480000	-0.821820	349.205819	0.206402	1.325860	349.205819	0.206402
1.490000	-0.838553	349.063654	0.206372	1.294916	349.063654	0.206372
1.500000	-0.768005	349.117595	0.206381	1.237338	349.117595	0.206381
1.510000	-0.635907	349.377012	0.206392	1.177061	349.377012	0.206392
1.520000	-0.487043	349.782698	0.206371	1.133084	349.782698	0.206371
1.530000	-0.372033	350.228544	0.206291	1.111406	350.228544	0.206291
1.540000	-0.332050	350.594140	0.206145	1.105719	350.594140	0.206145
1.550000	-0.386501	350.777445	0.205947	1.104922	350.777445	0.205947
1.560000	-0.527589	350.719988	0.205724	1.101649	350.719988	0.205724
1.570000	-0.723171	350.420279	0.205505	1.096181	350.420279	0.205505
1.580000	-0.926621	349.933016	0.205317	1.093836	349.933016	0.205317
1.590000	-1.090359	349.354242	0.205178	1.098382	349.354242	0.205178
1.600000	-1.178920	348.796791	0.205092	1.106290	348.796791	0.205092
1.610000	-1.177979	348.363883	0.205053	1.105724	348.363883	0.205053
1.620000	-1.097240	348.128261	0.205046	1.081146	348.128261	0.205046
1.630000	-0.966833	348.120071	0.205052	1.021416	348.120071	0.205052
1.640000	-0.828403	348.322668	0.205052	0.927625	348.322668	0.205052
1.650000	-0.723304	348.675239	0.205031	0.816719	348.675239	0.205031
1.660000	-0.681102	349.083223	0.204983	0.718300	349.083223	0.204983
1.670000	-0.711790	349.437939	0.204911	0.664656	349.437939	0.204911
1.680000	-0.804024	349.643335	0.204822	0.677592	349.643335	0.204822
1.690000	-0.929655	349.642708	0.204727	0.758208	349.642708	0.204727
1.700000	-1.052747	349.435980	0.204637	0.885112	349.435980	0.204637
1.710000	-1.140156	349.080685	0.204558	1.022426	349.080685	0.204558
1.720000	-1.170822	348.675658	0.204492	1.133609	348.675658	0.204492
1.730000	-1.141602	348.332232	0.204434	1.194321	348.332232	0.204434
1.740000	-1.068169	348.141463	0.204369	1.198967	348.141463	0.204369
1.750000	-0.980408	348.146940	0.204286	1.159651	348.146940	0.204286
1.760000	-0.913087	348.331513	0.204172	1.099736	348.331513	0.204172
1.770000	-0.894419	348.622755	0.204025	1.045222	348.622755	0.204025
1.780000	-0.936347	348.916413	0.203851	1.016471	348.916413	0.203851
1.790000	-1.030172	349.110524	0.203670	1.022117	349.110524	0.203670
1.800000	-1.149326	349.138209	0.203505	1.056876	349.138209	0.203505
1.810000	-1.258452	348.987242	0.203381	1.104303	348.987242	0.203381
1.820000	-1.325587	348.700096	0.203311	1.143586	348.700096	0.203311
1.830000	-1.333065	348.356485	0.203295	1.157366	348.356485	0.203295
1.840000	-1.283222	348.046919	0.203312	1.137213	348.046919	0.203312
1.850000	-1.196879	347.847154	0.203327	1.085118	347.847154	0.203327
1.860000	-1.105370	347.800244	0.203308	1.011670	347.800244	0.203308
1.870000	-1.039325	347.908268	0.203232	0.932476	347.908268	0.203232
1.880000	-1.018584	348.133246	0.203098	0.864075	348.133246	0.203098
1.890000	-1.046904	348.406685	0.202925	0.820024	348.406685	0.202925
1.900000	-1.112902	348.647257	0.202739	0.807935	348.647257	0.202739
1.910000	-1.196070	348.784002	0.202569	0.828300	348.784002	0.202569
1.920000	-1.274772	348.778695	0.202433	0.875342	348.778695	0.202433
1.930000	-1.332804	348.638995	0.202341	0.939160	348.638995	0.202341
1.940000	-1.362237	348.416345	0.202296	1.008009	348.416345	0.202296
1.950000	-1.362268	348.188698	0.202296	1.070138	348.188698	0.202296
1.960000	-1.335718	348.034360	0.202337	1.115391	348.034360	0.202337
1.970000	-1.285882	348.006325	0.202412	1.136923	348.006325	0.202412
1.980000	-1.215899	348.115367	0.202505	1.132927	348.115367	0.202505
1.990000	-1.130945	348.326378	0.202593	1.107672	348.326378	0.202593
2.000000	-1.041198	348.568119	0.202655	1.071125	348.568119	0.202655
2.010000	-0.962405	348.752770	0.202674	1.036674	348.752770	0.202674
2.020000	-0.912126	348.799215	0.202646	1.017134	348.799215	0.202646
2.030000	-0.902654	348.653521	0.202580	1.020001	348.653521	0.202580
2.040000	-0.934225	348.302002	0.202500	1.043781	348.302002	0.202500
2.050000	-0.992606	347.775155	0.202429	1.077371	347.775155	0.202429
2.060000	-1.052974	347.142385	0.202389	1.103437	347.142385	0.202389
2.070000	-1.088787	346.497458	0.202389	1.104792	346.497458	0.202389
2.080000	-1.081833	345.935644	0.202425	1.071130	345.935644	0.202425
2.090000	-1.029251	345.527224	0.202484	1.003288	345.527224	0.202484
2.100000	-0.944830	345.296451	0.202540	0.913597	345.296451	0.202540
2.110000	-0.854461	345.215190	0.202568	0.822475	345.215190	0.202568
2.120000	-0.787719	345.214608	0.202548	0.752458	345.214608	0.202548
2.130000	-0.768581	345.209641	0.202471	0.721301	345.209641	0.202471
2.140000	-0.808102	345.125604	0.202340	0.736225	345.125604	0.202340
2.150000	-0.900989	344.916981	0.202166	0.791352	344.916981	0.202166
2.160000	-1.026950	344.573663	0.201968	0.869210	344.573663	0.201968
2.170000	-1.156542	344.115823	0.201764	0.945171	344.115823	0.201764
2.180000	-1.259990	343.582280	0.201564	0.992590	343.582280	0.201564
2.190000	-1.316485	343.017883	0.201374	0.987463	343.017883	0.201374
2.200000	-1.321164	342.463628	0.201185	0.913282	342.463628	0.201185
2.210000	-1.287592	341.950628	0.200983	0.767052	341.950628	0.200983
2.220000	-1.244820	341.497431	0.200750	0.565266	341.497431	0.200750
2.230000	-1.229583	341.110188	0.200468	0.345905	341.110188	0.200468
2.240000	-1.275412	340.785705	0.200130	0.162364	340.785705	0.200130
2.250000	-1.401551	340.516696	0.199743	0.068662	340.516696	0.199743
2.260000	-1.605138	340.296897	0.199333	0.100621	340.296897	0.199333
2.270000	-1.859864	340.123177	0.198935	0.261115	340.123177	0.198935
2.280000	-2.122417	339.993763	0.198593	0.516435	339.993763	0.198593
2.290000	-2.344911	339.904771	0.198340	0.805889	339.904771	0.198340
2.300000	-2.488789	339.848368	0.198191	1.060933	339.848368	0.198191
2.310000	-2.535138	339.813905	0.198139	1.226474	339.813905	0.198139
2.320000	-2.488436	339.790199	0.198154	1.276727	339.790199	0.198154
2.330000	-2.373710	339.765955	0.198197	1.220685	339.765955	0.198197
2.340000	-2.229076	339.727487	0.198229	1.096397	339.727487	0.198229
2.350000	-2.095994	339.656101	0.198220	0.957055	339.656101	0.198220
2.360000	-2.009280	339.528808	0.198162	0.854060	339.528808	0.198162
2.370000	-1.988889	339.324008	0.198064	0.822337	339.324008	0.198064
2.380000	-2.035614	339.030385	0.197951	0.871913	339.030385	0.197951
2.390000	-2.132113	338.654914	0.197857	0.987881	338.654914	0.197857
2.400000	-2.248904	338.226007	0.197810	1.138447	338.226007	0.197810
2.410000	-2.353046	337.789781	0.197830	1.287822	337.789781	0.197830
2.420000	-2.416525	337.400232	0.197923	1.408286	337.400232	0.197923
2.430000	-2.422158	337.106655	0.198077	1.486081	337.106655	0.198077
2.440000	-2.366315	336.942761	0.198270	1.519624	336.942761	0.198270
2.450000	-2.258618	336.920538	0.198474	1.513550	336.920538	0.198474
2.460000	-2.118966	337.028707	0.198663	1.474323	337.028707	0.198663
2.470000	-1.972302	337.233039	0.198826	1.410681	337.233039	0.198826
2.480000	-1.842046	337.476598	0.198965	1.337313	337.476598	0.198965
2.490000	-1.743969	337.681974	0.199091	1.276775	337.681974	0.199091
2.500000	-1.682536	337.761122	0.199220	1.255546	337.761122	0.199220
2.510000	-1.651029	337.636768	0.199360	1.294320	337.636768	0.199360
2.520000	-1.635338	337.271596	0.199511	1.397157	337.271596	0.199511
2.530000	-1.619806	336.692380	0.199665	1.545972	336.692380	0.199665
2.540000	-1.592825	335.993711	0.199813	1.704698	335.993711	0.199813
2.550000	-1.550073	335.313824	0.199946	1.832453	335.313824	0.199946
2.560000	-1.494451	334.789559	0.200061	1.899919	334.789559	0.200061
2.570000	-1.433285	334.509290	0.200160	1.900977	334.509290	0.200160
2.580000	-1.374588	334.484180	0.200249	1.853861	334.484180	0.200249
2.590000	-1.324316	334.648629	0.200333	1.791646	334.648629	0.200333
2.600000	-1.285534	334.886710	0.200418	1.747383	334.886710	0.200418
2.610000	-1.258989	335.071068	0.200506	1.741507	335.071068	0.200506
2.620000	-1.243795	335.098718	0.200590	1.777229	335.098718	0.200590
2.630000	-1.237310	334.913417	0.200662	1.844847	334.913417	0.200662
2.640000	-1.234425	334.512093	0.200714	1.931043	334.512093	0.200714
2.650000	-1.227328	333.938663	0.200746	2.026843	333.938663	0.200746
2.660000	-1.206785	333.270501	0.200762	2.129284	333.270501	0.200762
2.670000	-1.165069	332.601309	0.200775	2.236244	332.601309	0.200775
2.680000	-1.099561	332.021964	0.200794	2.338932	332.021964	0.200794
2.690000	-1.015452	331.600425	0.200818	2.418830	331.600425	0.200818
2.700000	-0.926236	331.364088	0.200841	2.453459	331.364088	0.200841
2.710000	-0.851476	331.290553	0.200849	2.429165	331.290553	0.200849
2.720000	-0.812253	331.312390	0.200835	2.353197	331.312390	0.200835
2.730000	-0.825315	331.336504	0.200795	2.256248	331.336504	0.200795
2.740000	-0.897336	331.272020	0.200735	2.181630	331.272020	0.200735
