time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
2.750000	-1.020930	331.056685	0.200661	2.165498	331.056685	0.200661
2.760000	-1.174197	330.673324	0.200577	2.218440	330.673324	0.200577
2.770000	-1.325083	330.153042	0.200485	2.318576	330.153042	0.200485
2.780000	-1.440326	329.566695	0.200379	2.420242	329.566695	0.200379
2.790000	-1.496609	329.008331	0.200258	2.474149	329.008331	0.200258
2.800000	-1.489789	328.574131	0.200119	2.449197	328.574131	0.200119
2.810000	-1.438033	328.339744	0.199963	2.345768	328.339744	0.199963
2.820000	-1.376733	328.339322	0.199794	2.194959	328.339322	0.199794
2.830000	-1.346473	328.551071	0.199613	2.045087	328.551071	0.199613
2.840000	-1.378499	328.895754	0.199420	1.942233	328.895754	0.199420
2.850000	-1.483541	329.253521	0.199216	1.913276	329.253521	0.199216
2.860000	-1.648508	329.498949	0.198999	1.957695	329.498949	0.198999
2.870000	-1.842126	329.544965	0.198770	2.050236	329.544965	0.198770
2.880000	-2.026784	329.378502	0.198537	2.152378	329.378502	0.198537
2.890000	-2.171517	329.070418	0.198313	2.227551	329.070418	0.198313
2.900000	-2.261129	328.751957	0.198112	2.254007	328.751957	0.198112
2.910000	-2.298561	328.565564	0.197945	2.230480	328.565564	0.197945
2.920000	-2.300611	328.610565	0.197812	2.173215	328.610565	0.197812
2.930000	-2.289736	328.906816	0.197701	2.106905	328.906816	0.197701
2.940000	-2.285761	329.390681	0.197598	2.054336	329.390681	0.197598
2.950000	-2.300562	329.942885	0.197491	2.028957	329.942885	0.197491
2.960000	-2.336703	330.434345	0.197380	2.032156	330.434345	0.197380
2.970000	-2.388889	330.770072	0.197281	2.054750	330.770072	0.197281
2.980000	-2.446299	330.914261	0.197218	2.081185	330.914261	0.197218
2.990000	-2.494685	330.889579	0.197214	2.094916	330.889579	0.197214
3.000000	-2.518535	330.755525	0.197276	2.083540	330.755525	0.197276
3.010000	-2.504301	330.579200	0.197388	2.042334	330.579200	0.197388
3.020000	-2.445033	330.413102	0.197512	1.975311	330.413102	0.197512
3.030000	-2.345156	330.288227	0.197605	1.893823	330.288227	0.197605
3.040000	-2.222887	330.220548	0.197634	1.813498	330.220548	0.197634
3.050000	-2.107924	330.221139	0.197588	1.750422	330.221139	0.197588
3.060000	-2.033911	330.299646	0.197483	1.717306	330.299646	0.197483
3.070000	-2.027908	330.457689	0.197350	1.720276	330.457689	0.197350
3.080000	-2.100912	330.677931	0.197224	1.757128	330.677931	0.197224
3.090000	-2.243245	330.919100	0.197133	1.817696	330.919100	0.197133
3.100000	-2.426390	331.124083	0.197084	1.886412	331.124083	0.197084
3.110000	-2.610263	331.239920	0.197071	1.946309	331.239920	0.197071
3.120000	-2.753367	331.240789	0.197073	1.983173	331.240789	0.197073
3.130000	-2.823185	331.142418	0.197066	1.988531	331.142418	0.197066
3.140000	-2.804575	330.999577	0.197034	1.960683	330.999577	0.197034
3.150000	-2.704171	330.885532	0.196974	1.903973	330.885532	0.196974
3.160000	-2.549001	330.860566	0.196897	1.827341	330.860566	0.196897
3.170000	-2.378808	330.942598	0.196822	1.743088	330.942598	0.196822
3.180000	-2.234104	331.093520	0.196767	1.665659	331.093520	0.196767
3.190000	-2.144301	331.229302	0.196741	1.609252	331.229302	0.196741
3.200000	-2.120489	331.251987	0.196740	1.583585	331.251987	0.196740
3.210000	-2.154907	331.091811	0.196758	1.589066	331.091811	0.196758
3.220000	-2.225795	330.742184	0.196784	1.614314	330.742184	0.196784
3.230000	-2.304542	330.271961	0.196816	1.638586	330.271961	0.196816
3.240000	-2.362728	329.807988	0.196857	1.639098	329.807988	0.196857
3.250000	-2.378425	329.493201	0.196911	1.600428	329.493201	0.196911
3.260000	-2.341719	329.436168	0.196979	1.521931	329.436168	0.196979
3.270000	-2.258342	329.671823	0.197051	1.419786	329.671823	0.197051
3.280000	-2.149124	330.148598	0.197107	1.322357	330.148598	0.197107
3.290000	-2.043767	330.746367	0.197127	1.260263	330.746367	0.197127
3.300000	-1.970371	331.317384	0.197101	1.255168	331.317384	0.197101
3.310000	-1.945114	331.733923	0.197033	1.312384	331.733923	0.197033
3.320000	-1.966979	331.924951	0.196940	1.420538	331.924951	0.196940
3.330000	-2.019853	331.890270	0.196852	1.557482	331.890270	0.196852
3.340000	-2.080445	331.690588	0.196791	1.698163	331.690588	0.196791
3.350000	-2.127793	331.420944	0.196770	1.820126	331.420944	0.196770
3.360000	-2.150023	331.179272	0.196786	1.905517	331.179272	0.196786
3.370000	-2.146140	331.041176	0.196819	1.941645	331.041176	0.196819
3.380000	-2.123489	331.047396	0.196845	1.922635	331.047396	0.196845
3.390000	-2.093408	331.204201	0.196844	1.852361	331.204201	0.196844
3.400000	-2.067452	331.491490	0.196803	1.746461	331.491490	0.196803
3.410000	-2.055089	331.871599	0.196726	1.630970	331.871599	0.196726
3.420000	-2.062373	332.294759	0.196625	1.536855	332.294759	0.196625
3.430000	-2.091011	332.702705	0.196520	1.491818	332.702705	0.196520
3.440000	-2.137956	333.035835	0.196424	1.511838	333.035835	0.196424
3.450000	-2.195977	333.247669	0.196350	1.595178	333.247669	0.196350
3.460000	-2.255093	333.323616	0.196304	1.721254	333.323616	0.196304
3.470000	-2.304250	333.294212	0.196289	1.855545	333.294212	0.196289
3.480000	-2.332945	333.232500	0.196306	1.959623	333.232500	0.196306
3.490000	-2.333317	333.232857	0.196353	2.002957	333.232857	0.196353
3.500000	-2.303220	333.379278	0.196417	1.972264	333.379278	0.196417
3.510000	-2.249405	333.717098	0.196480	1.875191	333.717098	0.196480
3.520000	-2.188525	334.239427	0.196520	1.737512	334.239427	0.196520
3.530000	-2.143844	334.891465	0.196521	1.595041	334.891465	0.196521
3.540000	-2.137903	335.588341	0.196478	1.482858	335.588341	0.196478
3.550000	-2.184134	336.239076	0.196401	1.425217	336.239076	0.196401
3.560000	-2.281485	336.769775	0.196311	1.429720	336.769775	0.196311
3.570000	-2.414530	337.140946	0.196229	1.487820	337.140946	0.196229
3.580000	-2.558747	337.355428	0.196172	1.580786	337.355428	0.196172
3.590000	-2.688314	337.455096	0.196148	1.687428	337.455096	0.196148
3.600000	-2.783111	337.506910	0.196161	1.789594	337.506910	0.196161
3.610000	-2.832438	337.582261	0.196213	1.873727	337.582261	0.196213
3.620000	-2.834881	337.736652	0.196305	1.929724	337.736652	0.196305
3.630000	-2.795657	337.997374	0.196434	1.949874	337.997374	0.196434
3.640000	-2.723823	338.363240	0.196590	1.929924	338.363240	0.196590
3.650000	-2.631052	338.813862	0.196755	1.872278	338.813862	0.196755
3.660000	-2.531819	339.320660	0.196911	1.789305	339.320660	0.196911
3.670000	-2.443152	339.852133	0.197040	1.703623	339.852133	0.197040
3.680000	-2.382024	340.372211	0.197136	1.643005	340.372211	0.197136
3.690000	-2.360176	340.837958	0.197202	1.630161	340.837958	0.197202
3.700000	-2.378517	341.205054	0.197250	1.671456	341.205054	0.197250
3.710000	-2.424534	341.443780	0.197298	1.750875	341.443780	0.197298
3.720000	-2.475185	341.558742	0.197359	1.834025	341.558742	0.197359
3.730000	-2.505000	341.599870	0.197441	1.881459	341.599870	0.197441
3.740000	-2.496154	341.654996	0.197540	1.864946	341.654996	0.197540
3.750000	-2.445901	341.824052	0.197647	1.778500	341.824052	0.197647
3.760000	-2.367779	342.184913	0.197750	1.639376	342.184913	0.197750
3.770000	-2.285960	342.765151	0.197841	1.479853	342.765151	0.197841
3.780000	-2.225526	343.530571	0.197917	1.334703	343.530571	0.197917
3.790000	-2.203464	344.393749	0.197981	1.229916	344.393749	0.197981
3.800000	-2.224441	345.238551	0.198040	1.176424	345.238551	0.198040
3.810000	-2.282375	345.952502	0.198100	1.170130	345.952502	0.198100
3.820000	-2.365321	346.457484	0.198165	1.197235	346.457484	0.198165
3.830000	-2.459759	346.729757	0.198246	1.242068	346.729757	0.198246
