time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-1.485166	375.765987	0.212350	0.751629	375.765987	0.212350
0.010000	-1.437248	375.836797	0.212484	1.052066	375.836797	0.212484
0.020000	-1.396571	375.872910	0.212598	1.294779	375.872910	0.212598
0.030000	-1.370902	375.846120	0.212677	1.445130	375.846120	0.212677
0.040000	-1.367178	375.742872	0.212721	1.502257	375.742872	0.212721
0.050000	-1.388406	375.568489	0.212740	1.493509	375.568489	0.212740
0.060000	-1.430660	375.345814	0.212751	1.457191	375.345814	0.212751
0.070000	-1.482792	375.107552	0.212773	1.424106	375.107552	0.212773
0.080000	-1.530172	374.884927	0.212814	1.407485	374.884927	0.212814
0.090000	-1.561078	374.697304	0.212878	1.404845	374.697304	0.212878
0.100000	-1.572212	374.546802	0.212958	1.408019	374.546802	0.212958
0.110000	-1.569870	374.419351	0.213039	1.413333	374.419351	0.213039
0.120000	-1.565843	374.291146	0.213111	1.424921	374.291146	0.213111
0.130000	-1.570467	374.138065	0.213163	1.449680	374.138065	0.213163
0.140000	-1.587013	373.945342	0.213195	1.488623	373.945342	0.213195
0.150000	-1.610573	373.714639	0.213217	1.531945	373.714639	0.213217
0.160000	-1.631595	373.465535	0.213246	1.562156	373.465535	0.213246
0.170000	-1.641358	373.229367	0.213303	1.563598	373.229367	0.213303
0.180000	-1.635857	373.036509	0.213401	1.532019	373.036509	0.213401
0.190000	-1.616132	372.902493	0.213538	1.477847	372.902493	0.213538
0.200000	-1.585850	372.820506	0.213698	1.421168	372.820506	0.213698
0.210000	-1.548748	372.765042	0.213854	1.381760	372.765042	0.213854
0.220000	-1.508121	372.705020	0.213983	1.370390	372.705020	0.213983
0.230000	-1.468257	372.618787	0.214075	1.386090	372.618787	0.214075
0.240000	-1.435686	372.502547	0.214134	1.419867	372.502547	0.214134
0.250000	-1.418097	372.368522	0.214181	1.461402	372.368522	0.214181
0.260000	-1.420876	372.235846	0.214238	1.504378	372.235846	0.214238
0.270000	-1.443564	372.120850	0.214320	1.548178	372.120850	0.214320
0.280000	-1.479013	372.031823	0.214432	1.596563	372.031823	0.214432
0.290000	-1.516185	371.969010	0.214569	1.655364	371.969010	0.214569
0.300000	-1.544936	371.927278	0.214719	1.730646	371.927278	0.214719
0.310000	-1.559773	371.898332	0.214870	1.827390	371.898332	0.214870
0.320000	-1.560515	371.870629	0.215017	1.948046	371.870629	0.215017
0.330000	-1.550031	371.826975	0.215158	2.090806	371.826975	0.215158
0.340000	-1.531064	371.741723	0.215300	2.248272	371.741723	0.215300
0.350000	-1.504343	371.581235	0.215449	2.407480	371.581235	0.215449
0.360000	-1.468991	371.311156	0.215613	2.551745	371.311156	0.215613
0.370000	-1.424630	370.910877	0.215794	2.664056	370.910877	0.215794
0.380000	-1.373668	370.389889	0.215987	2.731265	370.389889	0.215987
0.390000	-1.322340	369.796475	0.216178	2.748119	369.796475	0.216178
0.400000	-1.279806	369.210580	0.216352	2.720029	369.210580	0.216352
0.410000	-1.255470	368.720610	0.216491	2.663517	368.720610	0.216491
0.420000	-1.255350	368.393650	0.216587	2.603607	368.393650	0.216587
0.430000	-1.278851	368.252914	0.216640	2.568199	368.252914	0.216640
0.440000	-1.317535	368.271623	0.216663	2.580412	368.271623	0.216663
0.450000	-1.357049	368.382992	0.216676	2.650958	368.382992	0.216676
0.460000	-1.382064	368.499191	0.216700	2.773309	368.499191	0.216700
0.470000	-1.382319	368.532310	0.216747	2.924335	368.532310	0.216747
0.480000	-1.356919	368.414448	0.216819	3.071440	368.414448	0.216819
0.490000	-1.314602	368.115885	0.216907	3.184205	368.115885	0.216907
0.500000	-1.269832	367.657696	0.216997	3.245510	367.657696	0.216997
0.510000	-1.236854	367.112036	0.217072	3.256483	367.112036	0.217072
0.520000	-1.224959	366.585302	0.217119	3.232646	366.585302	0.217119
0.530000	-1.237193	366.187106	0.217129	3.193819	366.187106	0.217129
0.540000	-1.272315	365.996162	0.217099	3.154088	365.996162	0.217099
0.550000	-1.327583	366.036444	0.217036	3.117653	366.036444	0.217036
0.560000	-1.399716	366.271921	0.216949	3.081980	366.271921	0.216949
0.570000	-1.483208	366.619941	0.216856	3.044799	366.619941	0.216856
0.580000	-1.567698	366.976927	0.216775	3.009468	366.976927	0.216775
0.590000	-1.637266	367.247406	0.216722	2.985054	367.247406	0.216722
0.600000	-1.673497	367.367818	0.216699	2.981490	367.367818	0.216699
0.610000	-1.661697	367.318916	0.216699	3.003364	367.318916	0.216699
0.620000	-1.597458	367.124701	0.216705	3.046423	367.124701	0.216705
0.630000	-1.490242	366.840675	0.216698	3.098730	366.840675	0.216698
0.640000	-1.362067	366.537352	0.216663	3.145454	366.537352	0.216663
0.650000	-1.241668	366.284387	0.216597	3.174457	366.284387	0.216597
0.660000	-1.156303	366.137436	0.216509	3.180076	366.137436	0.216509
0.670000	-1.123953	366.127167	0.216420	3.163834	366.127167	0.216420
0.680000	-1.148146	366.250651	0.216351	3.132252	366.250651	0.216351
0.690000	-1.216867	366.468709	0.216317	3.092912	366.468709	0.216317
0.700000	-1.306155	366.714530	0.216317	3.050680	366.714530	0.216317
0.710000	-1.387924	366.915140	0.216337	3.006195	366.915140	0.216337
0.720000	-1.439875	367.018947	0.216355	2.957725	367.018947	0.216355
0.730000	-1.453905	367.015802	0.216354	2.905190	367.015802	0.216354
0.740000	-1.439153	366.937453	0.216325	2.853288	366.937453	0.216325
0.750000	-1.417665	366.836817	0.216274	2.810959	366.836817	0.216274
0.760000	-1.414090	366.757635	0.216209	2.787028	366.757635	0.216209
0.770000	-1.444200	366.712294	0.216136	2.784743	366.712294	0.216136
0.780000	-1.508108	366.680356	0.216056	2.798736	366.680356	0.216056
0.790000	-1.591823	366.627012	0.215962	2.816270	366.627012	0.215962
0.800000	-1.675974	366.528332	0.215846	2.821956	366.528332	0.215846
0.810000	-1.746246	366.386863	0.215705	2.803538	366.386863	0.215705
0.820000	-1.799182	366.228474	0.215547	2.756262	366.228474	0.215547
0.830000	-1.840422	366.084162	0.215389	2.684440	366.084162	0.215389
0.840000	-1.877732	365.970031	0.215251	2.600042	365.970031	0.215251
0.850000	-1.914510	365.878827	0.215147	2.519167	365.878827	0.215147
0.860000	-1.948322	365.787523	0.215080	2.457693	365.787523	0.215080
0.870000	-1.974669	365.674054	0.215037	2.427161	365.674054	0.215037
0.880000	-1.992141	365.530601	0.215000	2.431415	365.530601	0.215000
0.890000	-2.004436	365.364704	0.214946	2.464351	365.364704	0.214946
0.900000	-2.017567	365.189733	0.214857	2.509798	365.189733	0.214857
0.910000	-2.034702	365.014570	0.214726	2.545072	365.014570	0.214726
0.920000	-2.053021	364.841995	0.214554	2.548829	364.841995	0.214554
0.930000	-2.065549	364.676731	0.214355	2.511008	364.676731	0.214355
0.940000	-2.067026	364.534710	0.214150	2.439813	364.534710	0.214150
0.950000	-2.059654	364.443174	0.213958	2.360607	364.443174	0.213958
0.960000	-2.054399	364.428404	0.213792	2.305627	364.428404	0.213792
0.970000	-2.066466	364.498333	0.213650	2.299170	364.498333	0.213650
0.980000	-2.107377	364.632495	0.213520	2.346205	364.632495	0.213520
0.990000	-2.178136	364.787708	0.213382	2.430523	364.787708	0.213382
1.000000	-2.267319	364.917462	0.213227	2.522874	364.917462	0.213227
1.010000	-2.355185	364.993836	0.213055	2.594041	364.993836	0.213055
1.020000	-2.421763	365.018975	0.212879	2.625818	365.018975	0.212879
1.030000	-2.454949	365.019739	0.212714	2.615146	365.019739	0.212714
1.040000	-2.454760	365.029475	0.212568	2.570965	365.029475	0.212568
1.050000	-2.432033	365.068329	0.212436	2.507201	365.068329	0.212436
1.060000	-2.402769	365.133578	0.212306	2.436673	365.133578	0.212306
1.070000	-2.381382	365.204298	0.212163	2.369260	365.204298	0.212163
1.080000	-2.376150	365.255572	0.212001	2.314203	365.255572	0.212001
1.090000	-2.388362	365.272603	0.211826	2.283079	365.272603	0.211826
1.100000	-2.414346	365.257205	0.211654	2.289140	365.257205	0.211654
1.110000	-2.448191	365.225162	0.211502	2.341373	365.225162	0.211502
1.120000	-2.483356	365.197909	0.211380	2.436149	365.197909	0.211380
1.130000	-2.512956	365.193436	0.211293	2.552396	365.193436	0.211293
1.140000	-2.530052	365.220651	0.211230	2.655254	365.220651	0.211230
1.150000	-2.529431	365.279827	0.211175	2.708409	365.279827	0.211175
1.160000	-2.510831	365.369146	0.211105	2.689663	365.369146	0.211105
1.170000	-2.481467	365.493691	0.211003	2.601463	365.493691	0.211003
1.180000	-2.455105	365.670388	0.210859	2.470254	365.670388	0.210859
1.190000	-2.446746	365.923438	0.210675	2.334547	365.923438	0.210675
1.200000	-2.465174	366.270006	0.210471	2.227862	366.270006	0.210471
1.210000	-2.507679	366.702678	0.210269	2.165321	366.702678	0.210269
1.220000	-2.560411	367.179057	0.210092	2.140203	367.179057	0.210092
1.230000	-2.604557	367.626933	0.209952	2.131042	367.626933	0.209952
1.240000	-2.625068	367.966044	0.209850	2.114364	367.966044	0.209850
1.250000	-2.617281	368.138260	0.209773	2.076044	368.138260	0.209773
1.260000	-2.588189	368.132510	0.209707	2.016135	368.132510	0.209707
1.270000	-2.552242	367.992436	0.209638	1.946176	367.992436	0.209638
1.280000	-2.524432	367.802750	0.209560	1.881724	367.802750	0.209560
1.290000	-2.514523	367.659979	0.209476	1.834354	367.659979	0.209476
